%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
504571000000,0.3,0.0,0.0,0.0,0.0,16.438045852958147
504671000000,0.3,0.0,0.0,0.0,0.0,16.12017656978842
504771000000,0.3,0.0,0.0,0.0,0.0,13.908372107696625
504871000000,0.3,0.0,0.0,0.0,0.0,11.16321163382863
504971000000,0.3,0.0,0.0,0.0,0.0,7.1615743721432885
505070000000,0.3,0.0,0.0,0.0,0.0,3.6489135994819364
505171000000,0.3,0.0,0.0,0.0,0.0,2.0583863318251643
505271000000,0.3,0.0,0.0,0.0,0.0,0.7101018153168033
505370000000,0.3,0.0,0.0,0.0,0.0,-0.7737590710286719
505471000000,0.3,0.0,0.0,0.0,0.0,-2.1433790727808173
505571000000,0.3,0.0,0.0,0.0,0.0,-2.082241426121601
505671000000,0.3,0.0,0.0,0.0,0.0,-0.6112988479973382
505770000000,0.3,0.0,0.0,0.0,0.0,1.4333071774211377
505871000000,0.3,0.0,0.0,0.0,0.0,1.0393969597867354
505971000000,0.3,0.0,0.0,0.0,0.0,0.033738113572745476
506071000000,0.3,0.0,0.0,0.0,0.0,0.009600166514180164
506171000000,0.3,0.0,0.0,0.0,0.0,0.6084486715103453
506271000000,0.3,0.0,0.0,0.0,0.0,0.36080253245718097
506371000000,0.3,0.0,0.0,0.0,0.0,-0.2658077749866937
506471000000,0.3,0.0,0.0,0.0,0.0,0.0936987479416502
506571000000,0.3,0.0,0.0,0.0,0.0,0.4040632324041398
506671000000,0.3,0.0,0.0,0.0,0.0,-0.21375414873901422
506771000000,0.3,0.0,0.0,0.0,0.0,-0.446011781561854
506871000000,0.3,0.0,0.0,0.0,0.0,0.756274075598203
506971000000,0.3,0.0,0.0,0.0,0.0,0.9193623281003802
507071000000,0.3,0.0,0.0,0.0,0.0,-0.01747241606720437
507171000000,0.3,0.0,0.0,0.0,0.0,-1.4431332117883635
507271000000,0.3,0.0,0.0,0.0,0.0,0.1580011855080053
507371000000,0.3,0.0,0.0,0.0,0.0,1.7036074553224712
507471000000,0.3,0.0,0.0,0.0,0.0,0.3704060283560535
507571000000,0.3,0.0,0.0,0.0,0.0,-2.1462992795954614
507671000000,0.3,0.0,0.0,0.0,0.0,-1.199163594389529
507771000000,0.3,0.0,0.0,0.0,0.0,0.9621113260564105
507871000000,0.3,0.0,0.0,0.0,0.0,1.7645346537119395
507971000000,0.3,0.0,0.0,0.0,0.0,-0.40810536685202203
508071000000,0.3,0.0,0.0,0.0,0.0,-1.9366262488018036
508171000000,0.3,0.0,0.0,0.0,0.0,-1.1431166773078738
508271000000,0.3,0.0,0.0,0.0,0.0,1.2727688886460515
508371000000,0.3,0.0,0.0,0.0,0.0,2.4615291272567825
508471000000,0.3,0.0,0.0,0.0,0.0,1.8672337456156387
508571000000,0.3,0.0,0.0,0.0,0.0,-1.3398960722868913
508670000000,0.3,0.0,0.0,0.0,0.0,-3.5735758470145367
508771000000,0.3,0.0,0.0,0.0,0.0,-2.0067229507836766
508871000000,0.3,0.0,0.0,0.0,0.0,0.022158495148349666
508971000000,0.3,0.0,0.0,0.0,0.0,2.631503595326956
509070000000,0.3,0.0,0.0,0.0,0.0,3.0377807980166738
509171000000,0.3,0.0,0.0,0.0,0.0,2.3010634546557682
509271000000,0.3,0.0,0.0,0.0,0.0,-0.8186860852971085
509371000000,0.3,0.0,0.0,0.0,0.0,-3.3132717104654663
509470000000,0.3,0.0,0.0,0.0,0.0,-2.7282426606134713
509571000000,0.3,0.0,0.0,0.0,0.0,-1.020620733668509
509671000000,0.3,0.0,0.0,0.0,0.0,0.5115292657886215
509771000000,0.3,0.0,0.0,0.0,0.0,1.2152630389504586
509871000000,0.3,0.0,0.0,0.0,0.0,-0.6295128175997216
509971000000,0.3,0.0,0.0,0.0,0.0,-2.7089738822960174
510071000000,0.3,0.0,0.0,0.0,0.0,-1.533323786006143
510171000000,0.3,0.0,0.0,0.0,0.0,1.7409873721845857
510271000000,0.3,0.0,0.0,0.0,0.0,2.5622443210003714
510371000000,0.3,0.0,0.0,0.0,0.0,0.4017349004687296
510471000000,0.3,0.0,0.0,0.0,0.0,-1.1993251273459054
510570000000,0.3,0.0,0.0,0.0,0.0,-1.1514198442610886
510670000000,0.3,0.0,0.0,0.0,0.0,1.1300464472270022
510771000000,0.3,0.0,0.0,0.0,0.0,2.5386718139029747
510871000000,0.3,0.0,0.0,0.0,0.0,2.136383053411073
510971000000,0.3,0.0,0.0,0.0,0.0,-0.645372989409392
511071000000,0.3,0.0,0.0,0.0,0.0,-3.523163995938223
511171000000,0.3,0.0,0.0,0.0,0.0,-2.4727476305749265
511271000000,0.3,0.0,0.0,0.0,0.0,-0.3488831416890196
511371000000,0.3,0.0,0.0,0.0,0.0,1.535895707737106
511471000000,0.3,0.0,0.0,0.0,0.0,1.275440485109272
511571000000,0.3,0.0,0.0,0.0,0.0,-0.8348396803753643
511671000000,0.3,0.0,0.0,0.0,0.0,-2.857365626036329
511770000000,0.3,0.0,0.0,0.0,0.0,-2.211349278881788
511871000000,0.3,0.0,0.0,0.0,0.0,0.8892922507391134
511971000000,0.2875000999289489,0.0,0.0,0.0,0.0,3.2774771656381914
512071000000,0.25596158006653447,0.0,0.0,0.0,0.0,1.9320300144139833
512171000000,0.23183258965557133,0.0,0.0,0.0,0.0,0.029551343251712325
512271000000,0.2044626315375994,0.0,0.0,0.0,0.0,-1.5926532724095934
512371000000,0.18000249810812188,0.0,0.0,0.0,0.0,-1.4879895241709709
