%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
512470000000,0.14865527128078015,0.0,0.0,0.0,0.0,-0.6747044215474658
512570000000,0.12384297301686689,0.0,0.0,0.0,0.0,-0.7457363495950123
512671000000,0.10758201938503988,0.0,0.0,0.0,0.0,-0.3395628606671591
512771000000,0.0984241990802037,0.0,0.0,0.0,0.0,0.1604592477458483
512870000000,0.09590695857130727,0.0,0.0,0.0,0.0,-0.8972551968268911
512971000000,0.0909897125326164,0.0,0.0,0.0,0.0,-1.0583516069327603
513071000000,0.07993556348138728,0.0,0.0,0.0,0.0,1.151012339882781
513171000000,0.07179828701172769,0.0,0.0,0.0,0.0,1.539975524209313
513271000000,0.06394927603399217,0.0,0.0,0.0,0.0,-0.6379089333129268
513370000000,0.05762402673115735,0.0,0.0,0.0,0.0,-2.0930774975386215
513471000000,0.048333740087648215,0.0,0.0,0.0,0.0,-1.6053149764208943
513571000000,0.04360031919713212,0.0,0.0,0.0,0.0,-0.7359946327283216
513671000000,0.03738782082227857,0.0,0.0,0.0,0.0,0.4692601290629449
513770000000,0.035750941711031076,0.0,0.0,0.0,0.0,0.8588479515220657
513871000000,0.03911104084127989,0.0,0.0,0.0,0.0,-0.40884432287896705
513970000000,0.03793730765956242,0.0,0.0,0.0,0.0,-1.5976760575055649
514070000000,0.028254895937591375,0.0,0.0,0.0,0.0,0.2006987394998737
514171000000,0.020458309944419745,0.0,0.0,0.0,0.0,2.0871234107025165
514271000000,0.020782253915563792,0.0,0.0,0.0,0.0,0.4405210409270093
514371000000,0.0196577398159915,0.0,0.0,0.0,0.0,-1.668133301119497
514471000000,0.01666395373094586,0.0,0.0,0.0,0.0,-1.4420527564631636
514571000000,0.008715965939627637,0.0,0.0,0.0,0.0,0.5173734773812868
514671000000,0.00813025564660467,0.0,0.0,0.0,0.0,2.4287547766365964
514770000000,0.0035600101863296945,0.0,0.0,0.0,0.0,0.9949266812785456
514871000000,0.0,0.0,0.0,0.0,0.0,0.0
